environ_var_code,woreda_name,WID,week_epidemiar,ref_value,ref_sd,ref_n,ref_max,ref_uq,ref_median,ref_lq,ref_min,old_environ_var_code
lst_mean,Abargelie,121,12,32.0730698250103,1.15812026345312,15,33.4720703898506,32.8451685621561,32.5332009818823,31.3139092216311,29.5965448031023,lstm
lst_night,Abargelie,121,12,22.0830825840334,1.35426688954495,15,23.711402811968,22.8268324791345,22.5459880676798,21.625567723109,18.9683534384571,lstn
ndvi,Abargelie,121,12,0.187921048364688,0.00663909349347477,14,0.196685305377049,0.193719203041792,0.187838356682323,0.183994072029996,0.177339190916384,ndvi
savi,Abargelie,121,12,0.13071180924294,0.0046126803755483,14,0.13785083702988,0.134418663308688,0.130838940023141,0.126830603871302,0.123299208178855,savi
evi,Abargelie,121,12,0.114731930789408,0.00427340695140769,14,0.121367162674324,0.118016436299214,0.114774763502383,0.110929480561326,0.108053041828882,evi
ndwi5,Abargelie,121,12,-0.0915354196176546,0.0047290420804895,14,-0.0861845930679563,-0.0874359019708908,-0.0901832133650445,-0.0953054415092766,-0.0999317177377912,ndwi5
ndwi6,Abargelie,121,12,-0.0932745025462311,0.00788904528344192,14,-0.0814712240503915,-0.0880182342032686,-0.0935896780186454,-0.0972106398483812,-0.111134734676911,ndwi6
tmpart,Abargelie,121,13,7.25391359116207,7.52818469108954,15,22.6261473876731,12.2889750249108,6.05990417078876,0.19779467274878,0.0653949830916979,tmpart
tmpac,Abargelie,121,13,3.60070108119497,9.84616712892866,15,34.9064471213536,0.209936654134653,0,0,0,tmpac
totprec,Abargelie,121,13,3.60070108119497,9.84616712892866,15,34.9064471213536,0.209936654134653,0,0,0,pmmc
lst_day,Abargelie,121,13,42.5976682415938,1.64568433744689,14,44.8832549397583,44.0188167656448,42.5183354792608,41.4506691908461,39.2565163326525,lstd
lst_mean,Abargelie,121,13,32.6329489610835,1.27606737036928,14,34.2852431557032,33.60395900175,32.8532428610131,31.9830780800184,29.4097593073364,lstm
lst_night,Abargelie,121,13,22.3647579521241,1.46176406696975,15,24.061082304532,23.5238087135677,22.7466677261601,22.0023992032816,19.165985482388,lstn
ndvi,Abargelie,121,13,0.186954235570267,0.00641370817379091,14,0.196720191031947,0.191909960967165,0.187738685581984,0.182182711724243,0.176425309244472,ndvi
