wid,woreda,doy,year,ndvi,savi,evi,ndwi5,ndwi6
3,Debark,1.0,2012.0,0.3309233981911155,0.20523852087702488,0.18774728900555726,-0.0766088974628928,-0.005555700759887761
4,Dabat,1.0,2012.0,0.32188784468807036,0.19626650683061944,0.18006797941871172,-0.08105461030549124,-0.025212068249367572
19,Tach Armachiho,1.0,2012.0,0.3400191154152256,0.21016987038288357,0.19172988045580133,-0.11196974827228089,-0.052009959533918126
6,Tegede,1.0,2012.0,0.32841194666805723,0.20297581163163142,0.18509182755347695,-0.10675958007601437,-0.0500237766877715
7,Lay Armachiho,1.0,2012.0,0.382468835616588,0.23273902238734978,0.21459166168998445,-0.07704787942634371,0.003540300287527312
17,Gondar Town,1.0,2012.0,0.2958260266887872,0.18277629161892026,0.1670119122912154,-0.06489968559866362,-0.0143130958355518
9,Gondar Zuria,1.0,2012.0,0.30380176711507395,0.18553379172843326,0.1701701161478948,-0.05431784012876911,0.014639744599653623
22,Libokemkem,1.0,2012.0,0.3145067931208194,0.19454405249882084,0.17995677008864408,-0.05002764845304098,0.018132771649916415
10,Denbia,1.0,2012.0,0.3547750436335582,0.20999483112772482,0.196363508058092,-0.04539190852742421,0.03826741212649607
23,Fogera,1.0,2012.0,0.32614821919003517,0.20309421675112577,0.18857106373253482,-0.054129579972065876,0.011430596193151555
24,Farta,1.0,2012.0,0.3314945957568052,0.20164332118716616,0.18617261177395392,-0.06306487787012038,-0.0015435695664440053
25,Lay Gayint,1.0,2012.0,0.2866485156368221,0.1721017424901452,0.15837450402639908,-0.06598864115672273,-0.019328356940437802
26,Tach Gayint,1.0,2012.0,0.23327416411470278,0.1366707440164491,0.12336471236102602,-0.044656135423157835,-0.002723734442055492
27,Simada,1.0,2012.0,0.2482749198477756,0.14257766932109442,0.13059529455654006,-0.038886193374905065,0.008384763679717267
43,Mekedela,1.0,2012.0,0.2591805935696469,0.14662349714710146,0.13397660602823364,-0.04854469520704125,0.003479526171788687
53,Sayint,1.0,2012.0,0.2999350411090166,0.16520230622972146,0.15136835460143278,-0.05631744226762097,0.001994274518425114
28,Estea,1.0,2012.0,0.308651153679404,0.18887901589808762,0.17315041877976278,-0.06324990098593698,-0.00778964372380402
31,Andabiet,1.0,2012.0,0.26381648589714385,0.15596345689877958,0.13987211507441985,-0.057672256121349276,-0.011830058103799758
30,Debre Tabor Town,1.0,2012.0,0.34773874406224115,0.21742525923809117,0.20001528957830647,-0.0660889742076664,-0.0025547129116225073
29,Dera,1.0,2012.0,0.2789013533786305,0.16917115568590838,0.15081050936800236,-0.06859233598751689,-0.022214212317182305
104,Bahir Dar Zuria,1.0,2012.0,0.3299291882200534,0.20083411577905536,0.18396039008465306,-0.07825127383736,-0.020473816711011443
137,Bahir Dar Town,1.0,2012.0,0.2937132227277879,0.18475329139078725,0.16834236187100365,-0.0785722014079897,-0.035219240965089486
105,Yilmana Densa,1.0,2012.0,0.331115271866232,0.19545837757971504,0.17810719747632106,-0.05557327436145053,0.013415746348665467
87,Hulet Iju Enesie,1.0,2012.0,0.33835928075748506,0.20412650911529542,0.18671772436651723,-0.06107363438134484,0.013200944938922692
114,Gonji Kolela,1.0,2012.0,0.2714335381420186,0.1579724537540004,0.14208381880416704,-0.05100261965644557,0.0020925556398692963
109,Dega Damot,1.0,2012.0,0.4321256636936979,0.258260277236985,0.2411126219609906,-0.047406990742603704,0.06356896949121671
106,Mecha,1.0,2012.0,0.3358307217440278,0.20875224605961648,0.18882794496103705,-0.09463163836218903,-0.041466697415540335
108,Quarit,1.0,2012.0,0.4052840930025098,0.2401675803467876,0.22265647573266925,-0.060897837799300684,0.02432400298103012
107,Sekela,1.0,2012.0,0.38904849254605495,0.2365985318085232,0.21573530491372778,-0.08669843949945136,-0.014903948300791382
111,Jabi Tehnan,1.0,2012.0,0.4102849577845853,0.23790973671046906,0.21982157456170345,-0.08867633562893405,-0.021791288941775958
86,Bibugn,1.0,2012.0,0.4520376259948003,0.26613955495344904,0.24935217279726787,-0.04172836116955449,0.07951373076390142
90,Enarji Enawuga,1.0,2012.0,0.3184408384333949,0.18774820407902665,0.1724429848966936,-0.045411251558957325,0.02647784540286648
88,Goncha Siso Enese,1.0,2012.0,0.3121027296004046,0.185588973746654,0.1687708057119752,-0.05695622628827438,0.008430112723741622
89,Enebse Sar Mider,1.0,2012.0,0.25865183679108594,0.14744880121916004,0.13513238455214516,-0.043936566678516434,0.002612205643071777
61,Mehal Sayint,1.0,2012.0,0.29965739672975156,0.1693754781184087,0.1555363598878125,-0.044371778385815096,0.023030435054270406
