wid,woreda,doy,year,totprec
108,Quarit,361.0,2018.0,0.0
107,Sekela,361.0,2018.0,0.0
111,Jabi Tehnan,361.0,2018.0,0.0
86,Bibugn,361.0,2018.0,0.015934676461601134
90,Enarji Enawuga,361.0,2018.0,0.005533445304861654
88,Goncha Siso Enese,361.0,2018.0,0.0
89,Enebse Sar Mider,361.0,2018.0,0.0
61,Mehal Sayint,361.0,2018.0,0.0
54,Borena,361.0,2018.0,0.0
58,Wogedi,361.0,2018.0,0.0
52,Legambo,361.0,2018.0,0.0
55,Kelela,361.0,2018.0,0.0
62,Legehida,361.0,2018.0,0.0
56,Jamma,361.0,2018.0,0.007670734042549067
44,Tenta,361.0,2018.0,0.0
51,Dessie Zuria,361.0,2018.0,0.07763085486124278
42,Dawunt,361.0,2018.0,0.0
45,Kuta Ber,361.0,2018.0,0.0
60,Dessie Town,361.0,2018.0,0.15542953845717705
47,Tehulederie,361.0,2018.0,0.11491875116854641
59,Kombolcha Town,361.0,2018.0,0.842364790702158
50,Alebuko,361.0,2018.0,0.0
57,Wore Illu,361.0,2018.0,6.163204854949611E-5
68,Gishe Rabel,361.0,2018.0,0.0
67,Menz Gera Mider,361.0,2018.0,0.26900805579581
69,Antsokiya Gemza,361.0,2018.0,0.01862342091269881
136,Kemisie Town,361.0,2018.0,0.0
71,Menz Mama Mider,361.0,2018.0,0.6077275905023756
84,Menz Lalo Mider,361.0,2018.0,0.1351424212632729
139,Shewa Robit,361.0,2018.0,0.0
72,Tarma Ber,361.0,2018.0,0.07370205321925939
73,Mojana Wodera,361.0,2018.0,0.05984579395144886
83,Menz Qeya Gebreal,361.0,2018.0,0.001364414019303466
63,Mida Woremo,361.0,2018.0,0.0
64,Merehabete,361.0,2018.0,0.0
66,Moretina Jiru,361.0,2018.0,0.022267229939210622
81,Basona Worena,361.0,2018.0,0.08001984210818547
85,Seya Deberna Wayu,361.0,2018.0,0.19698989080068294
65,Ensarona Wayo,361.0,2018.0,0.0
75,Angolelana Tera,361.0,2018.0,0.1745713044553031
76,Asagirt,361.0,2018.0,0.019534069553386275
77,Ankober,361.0,2018.0,0.02034282996884962
82,Debre Birehan Town,361.0,2018.0,0.052456173410248816
79,Berehet,361.0,2018.0,0.0
80,Minjarina Shenkora,361.0,2018.0,0.0
78,Hagere Mariam Kesem,361.0,2018.0,0.0132896511735608
96,Baso Liben,361.0,2018.0,0.0
93,Debre Elias,361.0,2018.0,0.0
95,Gozamin,361.0,2018.0,0.017681911182968194
102,Aneded,361.0,2018.0,0.0
97,Awabel,361.0,2018.0,0.027953280592199065
99,Shebel Berenta,361.0,2018.0,0.0
98,Dejen,361.0,2018.0,0.0
92,Debaytelatgen,361.0,2018.0,0.3043049349972095
91,Enemay,361.0,2018.0,0.005054264424765078
101,Sinan,361.0,2018.0,0.14664623212800318
110,Dembecha,361.0,2018.0,0.0
94,Machakel,361.0,2018.0,0.0
100,Debre Markos Town,361.0,2018.0,0.0
116,Finoteselam Town,361.0,2018.0,0.0
112,Burie Zuria,361.0,2018.0,0.0
130,Guagusa Shekudad,361.0,2018.0,4.917566156178759E-5
125,Banja,361.0,2018.0,0.1158380377237986
126,Ankesha,361.0,2018.0,0.0015599944517293368
113,Womberma,361.0,2018.0,0.0
127,Guangua,361.0,2018.0,0.0
13,Quara,361.0,2018.0,0.005892408932206803
129,Jawi,361.0,2018.0,0.02947037711907047
115,South Achefer,361.0,2018.0,0.0
124,Dangila,361.0,2018.0,0.0
128,Fagita Lekoma,361.0,2018.0,0.001060031883874779
103,North Achefer,361.0,2018.0,0.0
14,Alefa,361.0,2018.0,0.0
20,Takusa,361.0,2018.0,0.0
12,Metema,361.0,2018.0,0.00552886268960451
11,Chilga,361.0,2018.0,0.0
5,Mirab Armachiho,361.0,2018.0,0.012725149900627963
0,Adarkay,361.0,2018.0,0.0
18,Telemt,361.0,2018.0,6.834314997779758E-4
74,Kewet,362.0,2018.0,4.497145325175274E-4
133,Jilie Timuga,362.0,2018.0,0.0
70,Efratana Gidim,362.0,2018.0,0.046883480933865185
134,Artuma Fursi,362.0,2018.0,0.0
131,Dewa Chefa,362.0,2018.0,0.0
135,Dewa Harewa,362.0,2018.0,0.0
132,Bati,362.0,2018.0,0.003926836860146947
138,Aregoba Sp. Wo.,362.0,2018.0,0.0
49,Kalu,362.0,2018.0,0.027428101773055106
48,Worebabu,362.0,2018.0,9.420170014841391E-4
121,Abargelie,362.0,2018.0,0.16991529772186217
33,Raya Kobo,362.0,2018.0,0.0
39,Habru,362.0,2018.0,0.0
38,Guba Lafto,362.0,2018.0,0.060253240110093385
34,Gidan,362.0,2018.0,0.00188069537797479
40,Woldia Town,362.0,2018.0,0.0
46,Ambassel,362.0,2018.0,0.0
37,Delanta,362.0,2018.0,0.03325235674039429
140,Kobo Town,362.0,2018.0,0.0
41,Lasta,362.0,2018.0,0.0
120,Gazgibla,362.0,2018.0,0.0
35,Mekit,362.0,2018.0,0.0
36,Wadla,362.0,2018.0,0.0
32,Bugna,362.0,2018.0,0.0
119,Dehena,362.0,2018.0,0.0
117,Zequala,362.0,2018.0,1.1633791813125282E-4
118,Seqota,362.0,2018.0,0.0
123,Sekota Town,362.0,2018.0,0.0
122,Sehela,362.0,2018.0,0.3309909229741646
1,Beyeda,362.0,2018.0,0.7460097344340239
2,Janamora,362.0,2018.0,0.1109737707329979
16,Misrak Belesa,362.0,2018.0,0.0
21,Ebinat,362.0,2018.0,0.0
8,Wogera,362.0,2018.0,0.0411649113693116
15,Mirab Belesa,362.0,2018.0,0.0
3,Debark,362.0,2018.0,0.015678394669364576
4,Dabat,362.0,2018.0,0.0
19,Tach Armachiho,362.0,2018.0,0.008803925124242487
6,Tegede,362.0,2018.0,0.06162244242447502
